Error_Tag,Count
"com,lex",3
"transfer,gov,extra,prep",3
"agrnum,agrpers,tense",3
"miss,prep,constr",3
"constr,miss,prep",3
"ref,miss,lex",3
"agrcase,brev",3
"syntax,aux,extra",3
"agrcase,agrstr",3
"gov,constr,agrstr",3
"miss,hyphen",3
"agrgender,ortho",3
"space,miss,ortho",3
"space,deriv",3
"ortho,agrgender",3
"constr,disc,miss",3
"deriv,not-clear",3
"constr,neg",3
"disc,lex,constr",3
"ortho,subst,punct,miss",3
"conj,constr,miss,ref",3
"agrstr,prep,miss",3
"conj,ortho",3
"lex,constr,gov",3
"miss,aux",3
"wo,ref",3
"lex,conj,subst",3
"par,subst",3
"tense,agrgender",3
"miss,ref,syntax",3
"ref,agrnum",3
"tense,disc",3
"tense,refl",3
"asp,impers",2
"mode,miss,num",2
"ref,conj",2
"impers,refl",2
"lex,miss,disc",2
"aux,constr",2
"lex,translit",2
"impers,ortho",2
"lex,transfer,subst",2
"constr,brev",2
"ortho,infl,gov",2
"disc,wo,lex",2
"conj,ref,subst",2
"prep,ref,miss",2
"ortho,ref,miss",2
"tense,ortho",2
"subst,agrcase",2
"constr,aux,miss",2
"punct,transfer",2
"conj,punct",2
"transfer,punct",2
"constr,lex,ref",2
"lex,agrpers",2
"agrgender,refl",2
"gov,agrcase,agrnum",2
"agrstr,gov,prep",2
"miss,agrnum",2
"ortho,gov,prep",2
"miss,prep,gov",2
"tense,miss",2
"lex,constr,impers",2
"prep,miss,lex",2
"tense,brev",2
"lex,ref,miss",2
"idiom,ortho",2
"extra,space,ortho",2
"brev,agrstr",2
"constr,conj,miss",2
"lex,extra,constr",2
"ortho,hyphen,space",2
"asp,lex,not-clear",2
"par,miss",2
"prep,par",2
"gov,infl,ortho",2
"agrstr,constr,lex,miss",2
"not-clear,agrcase",2
"impers,syntax",2
"neg,constr",2
"agrpers,refl",2
"ortho,infl,agrcase",2
"asp,not-clear",2
"deriv,ortho,subst",2
"agrstr,agrnum",2
"gov,morph",2
"agrgender,asp",2
"constr,transfer,extra",2
"ortho,space,translit,infl",2
"miss,lex,constr",2
"agrcase,not-clear",2
"wo,extra",2
"constr,ref,lex",2
"morph,constr",2
"prep,subst,gov",2
"ortho,subst,infl,subst",2
"extra,ref,transfer",2
"agrstr,agrcase",2
"conj,lex,agrstr",2
"tense,mode",2
"ortho,miss,syntax",2
"transfer,aux",2
"ortho,miss,lex",2
"infl,punct",2
"aux,miss,brev",2
"wo,agrcase",2
"neg,miss",2
"extra,subst",2
"deriv,altern",2
"morph,prep,extra",2
"lex,idiom,transfer",2
"gov,lex,not-clear",2
"constr,lex,gov",2
"constr,disc,conj,prep,extra",2
"asp,agrpers",2
"refl,impers,syntax",2
"gender,ortho",2
"lex,conj,transfer",2
"transfer,ortho,subst",2
"extra,lex,prep",2
"morph,lex",2
"ortho,miss,asp",2
"num,gender",2
"space,agrgender",2
"agrcase,extra",2
"syntax,brev,extra",2
